Index,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
292,Valdivia,CL,2022-10-28 18:29:14,-39.8142,-73.2459,57.29,90,100,4.43
293,Sao Felix Do Xingu,BR,2022-10-28 18:29:15,-6.6447,-51.995,79.79,75,100,3.36
294,Uromi,NG,2022-10-28 18:29:15,6.7,6.3333,76.62,64,94,2.33
295,Awbari,LY,2022-10-28 18:29:17,26.5921,12.7805,70.95,37,0,6.24
296,Hjelset,NO,2022-10-28 18:29:18,62.7833,7.4833,50.97,100,100,4.61
297,Riyadh,SA,2022-10-28 18:27:33,24.6877,46.7219,77.14,13,90,6.78
298,Skelleftea,SE,2022-10-28 18:29:19,64.7507,20.9528,43.16,100,93,8.05
299,The Valley,AI,2022-10-28 18:28:55,18.217,-63.0578,87.1,70,40,17.27
300,Kargasok,RU,2022-10-28 18:29:19,59.0556,80.8572,27.45,94,100,14.14
301,Hambantota,LK,2022-10-28 18:29:20,6.1241,81.1185,77.34,100,40,2.3
302,Jizan,SA,2022-10-28 18:29:20,17.3333,42.6667,86.94,62,15,4.16
303,Makinsk,KZ,2022-10-28 18:29:22,52.6292,70.4169,17.26,93,24,8.41
304,Kavaratti,IN,2022-10-28 18:29:22,10.5669,72.642,81.79,65,84,6.33
305,Ilhabela,BR,2022-10-28 18:26:19,-23.7781,-45.3581,76.68,81,73,2.89
306,Darayya,SY,2022-10-28 18:29:24,33.459,36.2374,61.56,35,2,3.2
307,Notodden,NO,2022-10-28 18:29:24,59.5594,9.2585,57.0,93,97,3.42
308,Ubala,CO,2022-10-28 18:29:25,4.7478,-72.5369,86.09,70,74,6.69
309,Candido Mendes,BR,2022-10-28 18:29:25,-1.4467,-45.7167,89.53,47,98,10.8
310,Quatre Cocos,MU,2022-10-28 18:29:26,-20.2078,57.7625,74.08,76,58,8.3
311,Port-Cartier,CA,2022-10-28 18:27:18,50.0334,-66.8654,44.82,43,6,12.08
312,Vyartsilya,RU,2022-10-28 18:29:27,62.1764,30.693,45.61,100,99,5.61
313,Passos,BR,2022-10-28 18:29:27,-20.7189,-46.6097,89.67,30,65,7.56
314,Hamilton,US,2022-10-28 18:29:27,39.1834,-84.5333,66.43,51,0,4.61
315,Mahanoro,MG,2022-10-28 18:29:28,-19.9,48.8,72.14,80,21,7.7
316,Mogadishu,SO,2022-10-28 18:26:07,2.0371,45.3438,79.05,81,41,11.48
317,Ouango,CF,2022-10-28 18:29:29,4.3133,22.5552,77.07,76,93,0.6
318,Haverfordwest,GB,2022-10-28 18:29:29,51.8017,-4.9691,62.55,90,87,4.0
319,Orje,NO,2022-10-28 18:29:30,59.4802,11.6602,53.37,95,100,10.16
320,Maldonado,UY,2022-10-28 18:29:30,-34.6667,-54.9167,90.79,40,33,8.88
321,Kalmunai,LK,2022-10-28 18:29:31,7.4167,81.8167,77.61,71,37,4.9
322,Arica,CL,2022-10-28 18:29:31,-18.475,-70.3042,72.95,63,0,16.11
323,Myrtle Grove,US,2022-10-28 18:29:32,30.421,-87.3075,81.1,75,75,16.11
324,Moose Factory,CA,2022-10-28 18:29:33,51.2585,-80.6094,53.6,54,75,23.02
325,Mansa,IN,2022-10-28 18:30:33,29.9833,75.3833,70.7,38,0,4.5
326,Churhat,IN,2022-10-28 18:30:34,24.428,81.6703,67.44,53,0,1.83
327,Susangerd,IR,2022-10-28 18:30:34,31.5608,48.1831,83.66,30,56,5.44
328,Cayenne,GF,2022-10-28 18:30:05,4.9333,-52.3333,89.64,58,75,13.8
329,Mitsamiouli,KM,2022-10-28 18:30:35,-11.3847,43.2844,76.33,81,6,10.22
330,Ferkessedougou,CI,2022-10-28 18:30:35,9.6,-5.2,84.25,43,100,2.19
331,Salamiyah,SY,2022-10-28 18:30:36,35.0113,37.0532,69.46,38,1,4.72
332,Shetpe,KZ,2022-10-28 18:30:36,44.1667,52.1167,48.99,83,100,8.61
333,Urucara,BR,2022-10-28 18:30:37,-2.5364,-57.76,99.18,29,99,6.82
334,Tsabong,BW,2022-10-28 18:30:38,-26.0217,22.401,79.72,13,6,12.62
335,Kemi,FI,2022-10-28 18:30:38,65.8596,24.8228,42.57,100,0,5.75
336,Urumqi,CN,2022-10-28 18:28:01,43.801,87.6005,34.75,93,100,4.47
337,Bubaque,GW,2022-10-28 18:30:40,11.2833,-15.8333,82.9,78,100,8.08
338,Bestobe,KZ,2022-10-28 18:30:41,52.4994,73.0975,24.57,82,28,11.27
339,Jutai,BR,2022-10-28 18:30:41,-5.1833,-68.9,81.91,91,100,1.79
340,Synya,RU,2022-10-28 18:30:42,65.3718,58.0387,15.71,100,98,5.03
341,Itupiranga,BR,2022-10-28 18:30:42,-5.1347,-49.3267,95.32,56,98,3.8
342,Ayorou,NE,2022-10-28 18:30:43,14.7308,0.9174,86.36,14,0,10.33
343,Navalmoral De La Mata,ES,2022-10-28 18:30:43,39.8916,-5.5406,70.95,44,100,2.89
344,Oksovskiy,RU,2022-10-28 18:30:44,62.6062,39.8984,37.92,99,100,4.07
345,Santa Catalina,PH,2022-10-28 18:30:45,9.3337,122.8637,78.78,89,100,22.08
346,Thompson,CA,2022-10-28 18:30:30,55.7435,-97.8558,44.76,61,20,13.8
347,Tombouctou,ML,2022-10-28 18:30:47,20.0,-3.0,80.24,10,0,11.12
348,Matane,CA,2022-10-28 18:30:48,48.8286,-67.522,41.94,54,0,13.91
349,Rosa Zarate,EC,2022-10-28 18:30:48,0.3333,-79.4667,93.94,38,32,2.15
350,Pahalgam,IN,2022-10-28 18:30:48,34.0333,75.3333,40.84,46,0,7.76
351,Dalbandin,PK,2022-10-28 18:30:49,28.8947,64.4101,71.46,16,81,5.08
352,Yining,CN,2022-10-28 18:30:49,29.0361,114.5636,57.18,93,98,2.19
353,Itarema,BR,2022-10-28 18:30:51,-2.9248,-39.9167,83.1,67,76,20.22
354,Stornoway,GB,2022-10-28 18:30:52,58.2093,-6.3865,53.56,88,40,18.41
355,Belyy Yar,RU,2022-10-28 18:30:52,53.6039,91.3903,31.89,75,0,4.47
356,Turukhansk,RU,2022-10-28 18:30:53,65.8167,87.9833,20.23,87,100,16.13
357,Oxford,GB,2022-10-28 18:28:54,51.7522,-1.256,56.48,83,20,6.91
358,Marawi,PH,2022-10-28 18:30:55,7.9986,124.2928,69.76,95,100,10.09
359,Misratah,LY,2022-10-28 18:30:55,32.3754,15.0925,74.05,67,4,14.61
360,Gazli,UZ,2022-10-28 18:30:56,40.1333,63.45,57.51,45,35,5.84
361,Rorvik,NO,2022-10-28 18:30:56,64.8621,11.2373,46.51,93,75,4.61
362,Utrecht,NL,2022-10-28 18:30:08,52.0,5.25,64.2,87,100,5.99
363,Sao Jose Da Coroa Grande,BR,2022-10-28 18:30:57,-8.8978,-35.1478,80.28,68,66,11.95
364,Comodoro Rivadavia,AR,2022-10-28 18:30:57,-45.8667,-67.5,64.26,17,40,37.98
365,Codrington,AU,2022-10-28 18:31:00,-38.2667,141.9667,49.21,87,100,11.16
366,Coshocton,US,2022-10-28 18:31:00,40.272,-81.8596,60.26,42,100,1.01
367,Sao Filipe,CV,2022-10-28 18:31:01,14.8961,-24.4956,81.36,67,63,5.99
368,Bereda,ES,2022-10-28 18:31:01,43.2686,-7.5406,61.41,98,100,10.18
369,Labrea,BR,2022-10-28 18:31:02,-7.2586,-64.7981,73.6,99,100,3.29
370,Atar,MR,2022-10-28 18:31:03,20.5169,-13.0499,98.65,10,0,16.11
371,Malaya Serdoba,RU,2022-10-28 18:32:03,52.4661,44.9512,34.27,98,100,3.8
372,Damaturu,NG,2022-10-28 18:32:04,11.747,11.9608,82.51,21,18,8.63
373,Mayumba,GA,2022-10-28 18:32:05,-3.432,10.6554,78.1,89,41,5.82
374,Salisbury,GB,2022-10-28 18:29:55,51.0693,-1.7957,57.43,87,71,6.91
375,Hofn,IS,2022-10-28 18:32:05,64.2539,-15.2082,35.62,93,20,2.3
376,Senanga,ZM,2022-10-28 18:32:06,-16.1167,23.2667,76.71,38,11,4.32
377,Mocuba,MZ,2022-10-28 18:32:07,-16.8392,36.9856,76.87,69,10,7.27
378,Kidodi,TZ,2022-10-28 18:32:07,-7.6036,37.0044,75.31,46,47,1.01
379,Boden,SE,2022-10-28 18:32:08,65.8252,21.6886,42.8,92,21,4.23
380,Skjervoy,NO,2022-10-28 18:32:08,70.0311,20.9714,37.4,84,100,21.41
381,Shache,CN,2022-10-28 18:32:10,38.4167,77.2406,56.71,26,59,5.97
382,Ponta Delgada,PT,2022-10-28 18:32:10,37.7333,-25.6667,64.51,59,20,12.66
383,Nsoko,SZ,2022-10-28 18:32:11,-27.0333,31.95,64.81,72,0,6.29
384,Alta Floresta,BR,2022-10-28 18:32:12,-9.8756,-56.0861,87.62,66,40,5.75
385,Joensuu,FI,2022-10-28 18:32:15,62.6012,29.7632,45.09,100,100,5.75
386,Calama,CL,2022-10-28 18:32:16,-22.4667,-68.9333,73.89,8,0,23.02
387,Vicuna,CL,2022-10-28 18:32:16,-30.0319,-70.7081,83.77,29,0,10.07
388,Syumsi,RU,2022-10-28 18:32:17,57.1111,51.6149,32.45,87,90,5.91
389,Clones,IE,2022-10-28 18:32:18,54.1833,-7.2333,51.73,92,33,10.04
390,Formosa,AR,2022-10-28 18:31:16,-26.1775,-58.1781,89.58,51,75,6.91
391,Mamontovo,RU,2022-10-28 18:32:19,52.7055,81.6244,24.75,75,12,9.6
392,Griffin,US,2022-10-28 18:32:21,33.2468,-84.2641,71.4,56,0,10.36
393,Port Hawkesbury,CA,2022-10-28 18:32:23,45.6169,-61.3485,51.91,64,40,13.8
394,Mayor Pablo Lagerenza,PY,2022-10-28 18:32:24,-19.9309,-60.7718,92.19,43,100,8.97
395,Lehigh Acres,US,2022-10-28 18:31:22,26.6254,-81.6248,90.0,54,0,10.36
396,Muzhi,RU,2022-10-28 18:32:25,65.3667,64.6667,22.57,80,5,11.1
397,Monrovia,LR,2022-10-28 18:32:27,6.3005,-10.7969,79.05,83,99,3.96
398,Urambo,TZ,2022-10-28 18:32:27,-5.0667,32.05,79.03,24,44,3.44
399,Nadym,RU,2022-10-28 18:32:28,65.5333,72.5167,17.47,91,12,14.03
400,Vila Velha,BR,2022-10-28 18:32:28,-20.3297,-40.2925,84.15,77,20,18.41
401,Ghanzi,BW,2022-10-28 18:32:29,-21.5667,21.7833,84.2,29,74,7.94
402,Canico,PT,2022-10-28 18:32:29,32.6333,-16.85,74.03,80,20,5.75
403,Toro,CO,2022-10-28 18:32:30,4.6117,-76.0814,81.28,89,99,2.95
404,Sorland,NO,2022-10-28 18:32:30,67.667,12.6934,44.46,90,100,17.81
405,Storslett,NO,2022-10-28 18:32:30,69.7678,21.0247,37.4,81,75,9.22
406,Tiznit,MA,2022-10-28 18:29:11,29.5833,-9.5,82.45,11,73,7.61
407,Abnub,EG,2022-10-28 18:32:31,27.2696,31.1511,75.42,44,1,11.83
408,Rosita,NI,2022-10-28 18:32:32,13.9268,-84.4032,91.06,43,35,3.56
409,Les Cayes,HT,2022-10-28 18:32:33,18.2,-73.75,87.13,54,14,6.15
410,Mineralnyye Vody,RU,2022-10-28 18:32:33,44.2103,43.1353,50.09,76,75,13.42
411,Bracciano,IT,2022-10-28 18:32:34,42.1031,12.1754,67.5,82,26,2.33
412,Reo,BF,2022-10-28 18:32:34,12.3167,-2.4667,86.11,22,0,5.57
413,Dwarka,IN,2022-10-28 18:32:34,22.2394,68.9678,80.55,65,0,10.31
414,Novoagansk,RU,2022-10-28 18:32:35,61.9449,76.6625,25.68,96,100,8.48
415,La Palma,US,2022-10-28 18:33:36,33.8464,-118.0467,79.81,68,20,3.0
416,San Javier,ES,2022-10-28 18:33:36,37.8063,-0.8374,72.12,79,40,10.36
417,Kathmandu,NP,2022-10-28 18:30:03,27.7167,85.3167,59.22,88,20,2.3
418,Saint-Pierre,RE,2022-10-28 18:33:37,-21.3393,55.4781,73.9,73,40,4.61
419,Galle,LK,2022-10-28 18:33:37,6.0367,80.217,76.03,84,69,4.88
420,Iberia,US,2022-10-28 18:33:38,29.9502,-91.7507,76.98,77,0,5.75
421,Vangaindrano,MG,2022-10-28 18:33:38,-23.35,47.6,71.51,89,82,10.89
422,Chapais,CA,2022-10-28 18:32:57,49.7834,-74.8492,44.38,62,100,12.71
423,Thinadhoo,MV,2022-10-28 18:33:39,0.5333,72.9333,81.95,80,98,19.35
424,Cap Malheureux,MU,2022-10-28 18:31:09,-19.9842,57.6142,74.46,72,65,3.0
425,Benjamin Aceval,PY,2022-10-28 18:33:40,-24.9667,-57.5667,89.74,59,82,5.41
426,Kongolo,CD,2022-10-28 18:33:41,-5.3833,27.0,77.05,63,90,2.26
427,Nyrob,RU,2022-10-28 18:33:25,60.733,56.7202,30.31,97,100,3.53
428,Idah,NG,2022-10-28 18:33:42,7.1065,6.7342,80.06,62,100,2.57
429,Bida,NG,2022-10-28 18:33:42,9.0833,6.0167,80.46,40,100,3.62
430,Hobyo,SO,2022-10-28 18:33:43,5.3505,48.5268,79.95,76,5,11.54
431,Marsh Harbour,BS,2022-10-28 18:33:44,26.5412,-77.0636,80.17,61,2,14.41
432,Rio Bueno,CL,2022-10-28 18:32:38,-40.3167,-72.9667,59.11,50,100,8.57
433,Sembe,CG,2022-10-28 18:33:45,1.6481,14.5806,70.03,97,100,2.21
434,Plettenberg Bay,ZA,2022-10-28 18:33:46,-34.0527,23.3716,61.23,80,93,15.84
435,Sarkand,KZ,2022-10-28 18:33:46,45.41,79.9186,29.88,56,0,6.24
436,Mitu,CO,2022-10-28 18:33:47,1.1983,-70.1733,82.02,77,100,1.63
437,Altagracia De Orituco,VE,2022-10-28 18:33:47,9.8601,-66.3814,77.65,90,100,3.33
438,Tisovec,SK,2022-10-28 18:33:48,48.6774,19.9436,48.07,90,40,2.86
439,Humaita,BR,2022-10-28 18:33:48,-7.5061,-63.0208,73.83,99,100,4.14
440,Catabola,AO,2022-10-28 18:33:49,-12.15,17.2833,65.48,83,100,4.43
441,Kuloy,RU,2022-10-28 18:33:50,61.0305,42.4925,42.51,98,100,6.76
442,Maniitsoq,GL,2022-10-28 18:33:50,65.4167,-52.9,37.65,98,100,18.9
443,Alpinopolis,BR,2022-10-28 18:33:50,-20.8636,-46.3881,85.82,34,95,7.09
444,Gorahun,SL,2022-10-28 18:33:51,7.4661,-11.2375,74.57,98,100,3.11
445,Camacupa,AO,2022-10-28 18:33:52,-12.0167,17.4833,64.22,90,100,3.65
446,Andenes,NO,2022-10-28 18:33:52,69.3143,16.1194,42.93,81,75,16.11
447,Verkhnyaya Sysert,RU,2022-10-28 18:33:54,56.4372,60.75,31.91,69,100,7.49
448,Knysna,ZA,2022-10-28 18:33:55,-34.0363,23.0471,61.09,84,100,11.18
449,Golitsyno,RU,2022-10-28 18:33:56,55.6122,36.9833,46.56,87,75,6.71
450,Gao,ML,2022-10-28 18:33:56,16.6362,1.637,79.97,11,0,11.72
451,Kambove,CD,2022-10-28 18:33:57,-10.8764,26.5969,74.26,35,52,4.47
452,Zhytomyr,UA,2022-10-28 18:30:36,50.2649,28.6767,50.2,89,100,6.44
453,Balad,IQ,2022-10-28 18:33:58,34.0164,44.1453,75.42,26,0,11.14
454,Benguela,AO,2022-10-28 18:33:58,-12.5763,13.4055,76.66,84,40,4.88
455,Berasia,IN,2022-10-28 18:33:59,23.6333,77.4333,68.45,51,0,4.07
456,Myra,IT,2022-10-28 18:33:59,45.4358,12.1348,65.14,84,0,3.44
457,Tatarsk,RU,2022-10-28 18:34:00,55.219,75.9828,26.73,88,100,15.46
458,Zheleznovodsk,RU,2022-10-28 18:34:00,44.1394,43.0197,46.81,76,75,13.42
459,Channel-Port Aux Basques,CA,2022-10-28 18:30:33,47.5702,-59.1367,45.59,59,6,21.9
460,Civitavecchia,IT,2022-10-28 18:34:01,42.0933,11.7967,70.39,80,86,3.42
461,Sakrand,PK,2022-10-28 18:34:01,26.1384,68.2736,79.38,47,47,8.63
462,Kassala,SD,2022-10-28 18:32:00,15.451,36.4,89.53,31,9,7.23
463,Luena,AO,2022-10-28 18:35:03,-11.7833,19.9167,66.13,87,100,7.9
464,Cascais,PT,2022-10-28 18:35:04,38.6979,-9.4215,71.46,93,40,20.0
465,Tazmalt,DZ,2022-10-28 18:35:04,36.3868,4.3989,72.01,31,5,1.03
466,Guaratinga,BR,2022-10-28 18:35:05,-16.5667,-39.5667,83.71,57,46,12.48
467,Oktyabrskiy,RU,2022-10-28 18:35:05,54.4815,53.471,32.61,71,99,3.65
468,Eyl,SO,2022-10-28 18:35:06,7.9803,49.8164,79.3,79,23,11.36
469,Akdepe,TM,2022-10-28 18:35:07,42.0551,59.3788,51.89,46,0,7.61
470,Mponela,MW,2022-10-28 18:35:07,-13.5319,33.7401,74.14,32,5,6.15
471,Hammerfest,NO,2022-10-28 18:35:08,70.6634,23.6821,39.65,81,75,8.05
472,Ritchie,ZA,2022-10-28 18:35:09,-29.038,24.6028,74.41,23,92,10.74
473,Cockburn Town,TC,2022-10-28 18:35:09,21.4612,-71.1419,81.54,72,0,8.59
474,Upington,ZA,2022-10-28 18:35:10,-28.4478,21.2561,82.78,21,0,6.91
475,Mumford,GH,2022-10-28 18:35:10,5.2618,-0.759,79.14,84,99,8.86
476,Denia,ES,2022-10-28 18:35:11,38.8408,0.1057,71.74,88,100,1.01
477,Sarnia,CA,2022-10-28 18:31:44,42.9787,-82.4041,55.44,65,20,6.91
478,Iralaya,HN,2022-10-28 18:35:12,15.0,-83.2333,84.6,65,17,7.45
479,Komatipoort,ZA,2022-10-28 18:35:12,-25.4332,31.9548,71.06,64,82,10.65
480,Puerto Maldonado,PE,2022-10-28 18:31:40,-12.6,-69.1833,86.4,66,40,2.3
481,Kutum,SD,2022-10-28 18:35:14,14.2,24.6667,75.36,20,22,12.91
482,Santiago,CL,2022-10-28 18:32:31,-33.4569,-70.6483,80.29,31,40,9.22
483,Tias,ES,2022-10-28 18:35:15,28.9611,-13.645,74.88,83,0,5.75
484,Modrica,RS,2022-10-28 18:35:17,43.5204,21.3647,58.82,74,0,2.35
485,Octeville,FR,2022-10-28 18:35:18,49.6261,-1.6435,56.98,82,0,4.61
486,Bechem,GH,2022-10-28 18:35:19,7.0903,-2.025,76.35,73,11,1.63
487,Asosa,ET,2022-10-28 18:35:20,10.0667,34.5333,61.75,89,81,4.41
488,Marienburg,PL,2022-10-28 18:35:20,54.0359,19.0266,59.88,88,71,8.46
489,Havoysund,NO,2022-10-28 18:35:21,70.9963,24.6622,39.43,92,100,16.78
490,Bathurst,AU,2022-10-28 18:35:22,-33.4166,149.5806,47.97,84,41,1.01
491,Atbasar,KZ,2022-10-28 18:35:22,51.8,68.3333,23.34,85,100,4.94
492,Tornio,FI,2022-10-28 18:35:23,65.8481,24.1466,42.82,93,19,8.48
493,Nioro,GM,2022-10-28 18:35:24,13.35,-15.75,83.12,60,100,5.19
494,Watsa,CD,2022-10-28 18:35:25,3.0372,29.5355,66.11,97,100,0.76
495,Nicoya,CR,2022-10-28 18:35:25,10.1483,-85.452,85.32,66,12,2.08
496,Igarka,RU,2022-10-28 18:30:31,67.4667,86.5833,21.36,95,100,19.62
497,Timmins,CA,2022-10-28 18:30:31,48.4669,-81.3331,49.82,57,75,12.66
498,Zhukovka,RU,2022-10-28 18:32:09,53.534,33.728,48.47,94,100,5.7
499,Crotone,IT,2022-10-28 18:35:27,39.0851,17.1178,67.95,72,0,9.22
500,Turkistan,KZ,2022-10-28 18:35:28,43.0,68.0,48.24,53,100,6.71
501,Skagen,DK,2022-10-28 18:35:28,57.7209,10.5839,56.53,96,100,12.44
502,Dawlatabad,AF,2022-10-28 18:35:29,36.4141,64.9053,67.17,39,98,5.77
503,Melchor De Mencos,GT,2022-10-28 18:35:29,17.0686,-89.1522,89.6,51,20,6.91
504,Zhezkazgan,KZ,2022-10-28 18:35:30,47.8043,67.7144,29.93,58,100,9.28
505,Avila,ES,2022-10-28 18:32:42,40.5833,-5.0,62.65,48,100,8.23
506,Fort-Shevchenko,KZ,2022-10-28 18:35:31,44.5086,50.263,55.33,68,80,13.96
507,Aykino,RU,2022-10-28 18:35:32,62.2248,49.9922,33.19,98,100,6.33
508,Nyuksenitsa,RU,2022-10-28 18:35:32,60.4128,44.2397,40.91,95,100,8.75
509,Puerto Ayacucho,VE,2022-10-28 18:35:33,5.6639,-67.6236,90.5,58,95,1.48
510,Keti Bandar,PK,2022-10-28 18:35:33,24.1447,67.4497,79.5,64,66,7.09
511,Mabaruma,GY,2022-10-28 18:36:34,8.2,-59.7833,82.4,89,40,6.91
512,Mozarlandia,BR,2022-10-28 18:36:34,-14.7447,-50.5706,89.78,41,99,9.84
513,Dehloran,IR,2022-10-28 18:36:35,32.6941,47.2679,78.71,27,97,2.35
514,Monterrey,MX,2022-10-28 18:36:05,25.6667,-100.3167,88.75,51,6,3.0
515,Mbanza-Ngungu,CD,2022-10-28 18:36:35,-5.25,14.8667,69.8,95,100,5.28
516,Kedgwick,CA,2022-10-28 18:36:36,47.6446,-67.3434,44.37,43,0,7.63
517,Port Said,EG,2022-10-28 18:36:36,31.2565,32.2841,75.18,78,40,9.22
518,George,ZA,2022-10-28 18:36:37,-33.963,22.4617,58.55,88,20,11.5
519,Petrozavodsk,RU,2022-10-28 18:36:38,61.7849,34.3469,44.06,93,54,4.47
520,Sao Domingos,BR,2022-10-28 18:36:38,-13.3983,-46.3183,90.75,29,100,2.98
521,Vestmanna,FO,2022-10-28 18:36:39,62.1564,-7.1664,50.92,82,75,9.22
522,Balao,EC,2022-10-28 18:36:39,-2.9167,-79.8167,79.23,64,49,9.64
523,Male,MV,2022-10-28 18:36:40,4.1748,73.5089,80.55,83,75,5.75
524,Olonets,RU,2022-10-28 18:36:40,60.9847,32.9698,47.57,94,100,7.47
525,Quelimane,MZ,2022-10-28 18:36:41,-17.8786,36.8883,77.41,82,85,9.31
526,Ust-Charyshskaya Pristan,RU,2022-10-28 18:36:41,52.3934,83.6635,27.1,80,7,7.76
527,Santa Isabel Do Rio Negro,BR,2022-10-28 18:36:41,-0.4139,-65.0192,93.25,47,100,4.61
528,Igrim,RU,2022-10-28 18:32:26,63.1906,64.4162,24.22,89,6,5.7
529,Puerto Colombia,CO,2022-10-28 18:31:47,10.9878,-74.9547,87.89,65,22,9.8
530,Laharpur,IN,2022-10-28 18:36:42,27.7167,80.9,68.13,66,0,3.71
531,Garissa,KE,2022-10-28 18:36:43,-0.4536,39.6401,82.11,57,3,18.1
532,Abu Samrah,SY,2022-10-28 18:36:43,35.3029,37.1841,70.18,37,1,3.71
533,Cassilandia,BR,2022-10-28 18:36:44,-19.1133,-51.7342,84.07,52,78,13.47
534,Ust-Tsilma,RU,2022-10-28 18:36:45,65.441,52.1498,25.61,94,100,3.62
535,Kroonstad,ZA,2022-10-28 18:36:46,-27.6504,27.2349,65.12,54,96,19.86
536,Manta,EC,2022-10-28 18:36:47,-0.95,-80.7333,78.58,73,75,14.97
537,Kannur,IN,2022-10-28 18:36:49,11.8675,75.3576,76.71,72,7,4.85
538,Bhanpura,IN,2022-10-28 18:36:50,24.513,75.7469,74.7,37,0,0.94
539,Sur,OM,2022-10-28 18:36:51,22.5667,59.5289,79.14,74,0,0.92
540,Peachtree City,US,2022-10-28 18:36:53,33.3968,-84.5958,71.85,58,0,10.36
541,Upata,VE,2022-10-28 18:36:53,8.0086,-62.3989,87.19,81,100,4.25
542,Sisimiut,GL,2022-10-28 18:36:54,66.9395,-53.6735,39.2,92,99,11.1
543,Sakakah,SA,2022-10-28 18:36:55,29.9697,40.2064,76.57,29,97,10.02
544,Wavre,BE,2022-10-28 18:36:55,50.7333,4.6,64.45,85,75,6.91
545,Dale,US,2022-10-28 18:36:56,38.1689,-86.99,67.95,45,0,4.61
546,Wick,GB,2022-10-28 18:36:57,58.4333,-3.0833,51.85,82,20,9.22
547,Sigayevo,RU,2022-10-28 18:36:57,56.4216,53.7757,32.83,85,100,5.37
548,Zaltan,LY,2022-10-28 18:36:58,32.947,11.8665,73.29,64,0,8.16
549,Nizwa,OM,2022-10-28 18:36:59,22.9333,57.5333,76.05,37,0,1.25
550,Huicungo,PE,2022-10-28 18:36:59,-7.2833,-76.8,88.05,62,40,3.44
551,May Pen,JM,2022-10-28 18:37:00,17.9645,-77.2451,87.01,47,6,5.19
552,Troitsko-Pechorsk,RU,2022-10-28 18:37:00,62.7084,56.1964,17.13,99,94,3.11
553,Iaciara,BR,2022-10-28 18:37:01,-14.0958,-46.6317,92.89,28,94,2.66
554,Diu,IN,2022-10-28 18:37:01,20.7141,70.9822,75.79,52,0,8.12
555,Kuito,AO,2022-10-28 18:37:02,-12.3833,16.9333,63.64,80,100,3.09
556,Lubango,AO,2022-10-28 18:37:03,-14.9172,13.4925,65.23,80,100,5.5
557,Bronderslev,DK,2022-10-28 18:37:03,57.2702,9.941,57.88,96,100,7.2
558,Erzincan,TR,2022-10-28 18:38:04,39.75,39.5,47.5,53,0,11.5
559,Vianopolis,BR,2022-10-28 18:38:05,-16.7419,-48.5164,78.71,42,99,4.5
560,Saint-Augustin,CA,2022-10-28 18:38:06,51.226,-58.6502,44.71,37,5,18.59
561,Portobelo,PA,2022-10-28 18:38:07,9.55,-79.65,93.11,64,22,6.98
562,Zanjan,IR,2022-10-28 18:38:07,36.6736,48.4787,52.57,79,64,9.13
563,San Juan,AR,2022-10-28 18:35:16,-31.5375,-68.5364,94.05,6,6,7.4
564,Mubende,UG,2022-10-28 18:38:09,0.5606,31.39,62.98,97,100,2.46
565,Vysotsk,RU,2022-10-28 18:38:09,60.6288,28.5705,48.42,98,100,8.88
566,Antofagasta,CL,2022-10-28 18:38:10,-23.65,-70.4,63.68,67,3,9.06
567,Pali,IN,2022-10-28 18:38:11,25.7667,73.3333,76.91,31,0,3.11
568,Nuevitas,CU,2022-10-28 18:38:11,21.5453,-77.2644,84.2,58,1,10.18
569,Kindu,CD,2022-10-28 18:38:12,-2.95,25.95,71.85,92,97,2.26
570,Conceicao Da Barra,BR,2022-10-28 18:38:12,-18.5933,-39.7322,80.22,72,51,12.71
571,Canutama,BR,2022-10-28 18:38:13,-6.5339,-64.3831,79.32,79,100,4.43
572,Derzhavinsk,KZ,2022-10-28 18:38:14,51.1,66.3167,23.65,83,100,5.06
573,Kochinda,IN,2022-10-28 18:38:14,21.7333,84.35,64.92,60,0,1.92
574,San Diego,US,2022-10-28 18:34:41,32.7153,-117.1573,79.05,68,20,5.99
575,Anloga,GH,2022-10-28 18:38:15,5.7947,0.8973,81.12,80,100,8.86
576,Banyo,CM,2022-10-28 18:38:16,6.75,11.8167,69.49,79,100,3.06
577,Calvinia,ZA,2022-10-28 18:38:16,-31.4707,19.776,71.38,22,26,5.77
578,Aripuana,BR,2022-10-28 18:38:17,-9.1667,-60.6333,86.97,58,100,6.08
579,Kasungu,MW,2022-10-28 18:38:20,-13.0333,33.4833,74.01,33,0,6.69
580,Gerash,IR,2022-10-28 18:38:21,27.6652,54.1371,69.94,21,100,1.68
581,Ballina,AU,2022-10-28 18:38:22,-28.8667,153.5667,58.78,85,0,6.8
582,Mangaratiba,BR,2022-10-28 18:38:23,-22.9597,-44.0406,79.66,91,100,5.75
583,Herat,AF,2022-10-28 18:38:23,34.5,62.0,62.2,23,0,8.28
584,Santa Cruz,BO,2022-10-28 18:34:25,-17.8,-63.1667,89.65,51,75,17.27
585,Kismayo,SO,2022-10-28 18:38:24,-0.3582,42.5454,78.69,78,76,11.56
586,Kankaanpaa,FI,2022-10-28 18:38:25,61.8,22.4167,50.76,98,100,5.91
587,Myronivka,UA,2022-10-28 18:38:25,49.6601,30.9823,49.5,87,100,6.29
588,Salekhard,RU,2022-10-28 18:38:26,66.53,66.6019,22.1,81,6,13.09
589,Teya,RU,2022-10-28 18:38:26,60.3778,92.6267,25.9,86,100,10.36
