Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
308,Salinas,US,72.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
309,Aljezur,PT,66.83,overcast clouds,37.3191,-8.8033,Amazigh Hostel
310,Tabatinga,BR,86.09,very heavy rain,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
312,Kovur,IN,76.95,broken clouds,14.4833,79.9833,Hotel Yesh Park
313,Songea,TZ,66.04,clear sky,-10.6833,35.65,mtakuja
314,San Vicente,AR,84.24,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
317,Saint George,US,66.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
318,Tucuman,AR,95.0,clear sky,-26.8241,-65.2226,Hotel Premier
321,Muana,BR,93.22,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
325,Teguise,ES,73.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
330,Banda Aceh,ID,78.58,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
331,Koundara,GN,82.65,overcast clouds,12.4833,-13.3,Residance B....
332,Dalbandin,PK,70.23,scattered clouds,28.8947,64.4101,Sanjrani House
335,San Pedro,PH,76.23,moderate rain,14.35,121.0167,Palines Apartment and Guesthouse
337,Abu Dhabi,AE,80.96,clear sky,24.4667,54.3667,Beach Rotana
340,Marzuq,YE,65.75,clear sky,14.4,46.4667,حيد القفلة
342,Mandra,GR,66.04,few clouds,38.0667,23.5,Elefsina Hotel
343,Wad Rawah,SD,90.09,clear sky,15.1603,33.1397,حوش جلي ودراوة
344,Aras,ES,66.61,clear sky,42.5617,-2.356,Jardines de Viana Spa
346,Weligama,LK,75.74,few clouds,5.9667,80.4167,Weligama Bay Resort
347,Salinopolis,BR,82.65,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
348,Riberalta,BO,79.0,overcast clouds,-10.9833,-66.1,Hotel Colonial
354,Nova Granada,BR,84.45,overcast clouds,-20.5339,-49.3142,Granada Hotel - Nova Granada
358,Beira,MZ,77.59,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
360,Viedma,AR,71.46,overcast clouds,-40.8135,-62.9967,Hotel Cristal
363,Richards Bay,ZA,68.94,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
367,Sao Joaquim,BR,68.86,clear sky,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
369,Muscat,OM,77.02,clear sky,23.6139,58.5922,Mutrah Hotel
370,Buchanan,LR,77.68,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
372,Anloga,GH,81.01,light rain,5.7947,0.8973,Pin Drop Hotel
373,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
374,Talara,PE,70.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
375,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
376,Mulanje,MW,78.78,scattered clouds,-16.0316,35.5,Mulanje Motel
381,Aguimes,ES,72.23,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
382,Papagaios,BR,91.42,scattered clouds,-19.4492,-44.7478,Hotel Mac Palace
384,Tabou,CI,77.38,light rain,4.423,-7.3528,hotêl doufoulougou
385,Taperoa,BR,88.45,clear sky,-7.2075,-36.8267,Hotel Casarão Antigo
386,Presidencia Roque Saenz Pena,AR,86.49,broken clouds,-26.7852,-60.4388,Hotel Gualok
389,Passo De Camaragibe,BR,80.15,scattered clouds,-9.2368,-35.4901,Racho do Zé
394,Chor,PK,78.49,broken clouds,25.5167,69.7667,Asad U Bajeer Hotel
397,Lighthouse Point,US,87.03,few clouds,26.2756,-80.0873,Residence Inn by Marriott Fort Lauderdale Pompano Beach/Oceanfront
399,Gambela,ET,74.61,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
402,Puerto Leguizamo,CO,81.55,heavy intensity rain,-0.1934,-74.7819,la casona de juancho
403,Marsa Matruh,EG,71.8,few clouds,31.3525,27.2453,Beau Site
405,Guaruja,BR,78.84,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
406,Lubao,PH,78.51,very heavy rain,14.9167,120.55,Hacienda Gracia
407,Paita,PE,69.15,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
408,Road Town,VG,86.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
412,Rawah,IQ,70.72,clear sky,34.4816,41.9093,عمر
413,Jalu,LY,70.52,clear sky,29.0331,21.5482,صاحبة الفخامة
415,Beberibe,BR,80.26,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
417,Nicoya,CR,84.34,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
419,Surt,LY,73.0,few clouds,31.2089,16.5887,فندق المدينة
421,Constantine,DZ,67.41,clear sky,36.365,6.6147,Grand Hotel Cirta
422,Alegrete,BR,82.58,clear sky,-29.7831,-55.7919,Hotel Alegrete
423,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
424,Camana,PE,65.55,few clouds,-16.6228,-72.7111,Hostal Morales
429,Bom Jesus,BR,84.99,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
430,Tonj,SS,77.23,overcast clouds,7.2737,28.6822,Lakan Hotel
431,Mabaruma,GY,79.11,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
434,Cambui,BR,76.64,broken clouds,-22.6122,-46.0575,Hotel Zé Maria - Cambuí
436,Kilindoni,TZ,76.91,overcast clouds,-7.9139,39.6668,Bustani B&B
437,Lodwar,KE,82.42,few clouds,3.1191,35.5973,Solmar Gracious Hotel
438,Sabha,LY,69.21,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
439,Cerro Largo,BR,85.19,clear sky,-28.1486,-54.7381,Hotel Missões
440,Itarema,BR,80.73,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
441,Lima,PE,66.9,overcast clouds,-12.0432,-77.0282,Hotel Kamana
442,Arona,ES,73.9,clear sky,28.0996,-16.681,Paradise Court
443,Barbosa Ferraz,BR,82.6,overcast clouds,-24.03,-52.0117,Edicula Sanches
448,Nacala,MZ,74.44,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
449,Mana,GF,82.8,few clouds,5.6592,-53.7767,LE SAMANA
453,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
455,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
456,Coyah,GN,80.44,light rain,9.75,-13.4167,Motel Canal+
457,Eyl,SO,79.09,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
460,Acarau,BR,81.25,broken clouds,-2.8856,-40.12,castelo pizzaria
461,Bud,US,66.15,clear sky,39.447,-86.1758,Ted McQuinn Trust
467,Uniao,BR,90.99,overcast clouds,-4.5858,-42.8642,Pousada União
469,Quelimane,MZ,76.73,broken clouds,-17.8786,36.8883,Hotel Flamingo
470,Ampanihy,MG,69.87,overcast clouds,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
471,Mananjary,MG,74.05,overcast clouds,-21.2167,48.3333,Vahiny Lodge
473,Luau,AO,69.13,overcast clouds,-10.7073,22.2247,Kimbo Hotel
477,Gabu,GW,81.63,overcast clouds,12.2833,-14.2167,Hotel karsa
479,Evansville,US,71.19,clear sky,37.9748,-87.5558,Le Merigot Hotel
481,Grand-Santi,GF,82.72,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
482,Voi,KE,69.55,scattered clouds,-3.3945,38.563,Voi Wildlife Lodge
483,Kikwit,CD,70.52,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
484,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
486,Guhagar,IN,70.92,clear sky,17.4842,73.1929,Seawinds Hotel Guhagar
489,Isabela,PH,77.79,overcast clouds,6.7085,121.9711,Isawad Resort
490,Francistown,BW,70.97,clear sky,-21.17,27.5079,Budget House
491,Boali,CF,74.84,overcast clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
492,Bardiyah,LY,69.3,clear sky,31.7561,25.0865,بورتو بردية
493,Port-Gentil,GA,75.16,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
494,Garissa,KE,78.48,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
495,Impfondo,CG,70.34,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
496,Choma,ZM,71.46,scattered clouds,-16.8065,26.9531,Kamuboola Lodge
498,Quatre Cocos,MU,74.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
500,Santiago,CL,80.55,broken clouds,-33.4569,-70.6483,Hotel Panamericano
501,Savannah Bight,HN,82.45,few clouds,16.45,-85.85,Villa on Dunbar Rock
504,Jorochito,BO,86.32,scattered clouds,-18.05,-63.4333,Tom´s Hauss
509,Anzio,IT,71.01,clear sky,41.4853,12.6179,Hotel Lido Garda
510,Reconquista,AR,88.56,clear sky,-29.15,-59.65,Grand Hotel
511,Moura,PT,66.31,overcast clouds,38.1401,-7.4486,Hotel de Moura
513,Kralendijk,BQ,82.38,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
514,San Ignacio,BZ,93.34,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
516,Keti Bandar,PK,78.76,few clouds,24.1447,67.4497,Haji laloo memon house
519,Farafangana,MG,72.23,broken clouds,-22.8167,47.8333,Miarina
520,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
523,Mahuva,IN,79.56,clear sky,21.0914,71.7622,Hotel Blue Diamond.
527,Saint Andrews,US,73.49,scattered clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
529,Santa Vitoria Do Palmar,BR,72.64,clear sky,-33.5189,-53.3681,Hostel Comodoro
534,Afogados Da Ingazeira,BR,87.01,scattered clouds,-7.7508,-37.6392,Hotel Brotas
538,Porto De Moz,BR,88.66,overcast clouds,-1.7483,-52.2383,Dormitório labelle
539,Pathanamthitta,IN,77.74,broken clouds,9.2667,76.7833,Rose Petals
540,Lapa,BR,67.21,scattered clouds,-25.7697,-49.7158,Pousada Solar da Lapa
543,Redan,US,70.38,overcast clouds,33.7454,-84.1316,Quick & Clean Pressure Washing and Resurfacing
544,Nova Olimpia,BR,90.03,overcast clouds,-14.7972,-57.2881,Motel glamour
545,San Juan,AR,94.24,clear sky,-31.5375,-68.5364,Hotel Provincial
547,Honavar,IN,78.85,overcast clouds,14.2833,74.45,Hotel Sagar Residency
548,Itigi,TZ,73.0,scattered clouds,-5.7,34.4833,SAAMBILI PUB 🍻 & LODGE
549,Padang,ID,76.19,light rain,-0.9492,100.3543,Mercure Padang
550,Savelugu,GH,81.9,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
551,Bull Savanna,JM,80.94,scattered clouds,17.8868,-77.5902,Big Red's
552,Zwedru,LR,73.04,broken clouds,6.0667,-8.1281,Elijah Worjloh
554,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
557,Port Blair,IN,80.76,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
559,Zanzibar,TZ,72.99,broken clouds,-6.1639,39.1979,Tembo House Hotel
560,West Bay,KY,87.87,scattered clouds,19.3667,-81.4167,Calypso Cove
564,Kudahuvadhoo,MV,80.67,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
566,Mineiros,BR,85.91,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
568,Khorramshahr,IR,78.76,mist,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
575,Le Port,RE,73.36,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
577,Iralaya,HN,83.61,light rain,15.0,-83.2333,Iglesia morava renovada
579,Huarmey,PE,66.65,clear sky,-10.0681,-78.1522,Hotel Miramar
581,Botad,IN,78.24,clear sky,22.1667,71.6667,Yogi Guest House
584,Riyadh,SA,73.54,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
585,Tema,GH,82.81,broken clouds,5.667,-0.0166,Beulah Royale Hotel Tema
586,Sechura,PE,72.73,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
588,Hargeysa,SO,66.27,clear sky,9.56,44.065,City Center Hotel
590,Taveta,KE,68.54,clear sky,-3.3963,37.6736,Challa Hotel
592,Biu,NG,73.26,broken clouds,10.6129,12.1946,Emir's Palace
594,Hambantota,LK,77.5,broken clouds,6.1241,81.1185,Bungalow 63
595,Santo Domingo,DO,78.44,broken clouds,18.5001,-69.9886,Cabañas City Heart
598,Chabahar,IR,79.7,scattered clouds,25.2919,60.643,هتل گدروشیا
601,Kinkala,CG,71.26,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
602,Banfora,BF,80.62,clear sky,10.6333,-4.7667,Residences David Hebié
607,Iguape,BR,71.94,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
609,Qafqafa,JO,65.55,overcast clouds,32.3483,35.9395,الصرح الهاشمي
611,Tignere,CM,68.27,overcast clouds,7.3667,12.65,SADECK
612,Yarada,IN,75.96,clear sky,17.65,83.2667,Yarada Jungle Beach Resorts
614,Nsanje,MW,80.2,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
617,Mamallapuram,IN,78.85,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
618,Mulatupo,PA,83.16,overcast clouds,8.9492,-77.7652,Hostal Nuevo Sasardí
621,La Romana,DO,84.56,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
623,Zambezi,ZM,71.69,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
624,Malindi,KE,76.03,scattered clouds,-3.2175,40.1191,African House Resort
626,Omboue,GA,77.34,light rain,-1.5746,9.2618,Hotel Olako
628,Barcelos,PT,68.68,overcast clouds,41.5388,-8.6151,Hotel Do Terço
631,Japura,ID,73.42,moderate rain,-0.3167,102.35,Rumah mbah Jamah
632,Ibra,OM,72.99,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
