City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mackay,AU,2022-10-27 19:42:51,-21.15,149.2,72.68,83,21,3.94
68,Kankon,IN,2022-10-27 19:42:52,15.0167,74.0167,75.34,64,0,5.93
69,Bambous Virieux,MU,2022-10-27 19:42:52,-20.3428,57.7575,73.65,78,40,5.75
70,San Cristobal,VE,2022-10-27 19:40:45,7.7669,-72.225,71.78,89,98,3.06
71,Yar-Sale,RU,2022-10-27 19:42:53,66.8333,70.8333,26.64,96,100,13.89
72,Chicama,PE,2022-10-27 19:42:54,-7.8447,-79.1469,63.14,59,99,9.31
73,Khatanga,RU,2022-10-27 19:42:54,71.9667,102.5,-0.09,99,97,3.67
74,Labuhan,ID,2022-10-27 19:42:55,-6.8844,112.2051,75.56,77,43,11.27
75,Srednekolymsk,RU,2022-10-27 19:42:55,67.45,153.6833,-0.29,95,90,6.89
76,Kuliyapitiya,LK,2022-10-27 19:42:55,7.4688,80.0401,76.68,85,5,3.0
77,Paamiut,GL,2022-10-27 19:42:56,61.994,-49.6678,37.78,88,100,10.31
78,Vestmannaeyjar,IS,2022-10-27 19:42:56,63.4427,-20.2734,44.6,80,0,9.4
79,Barrow,US,2022-10-27 19:42:57,71.2906,-156.7887,24.82,86,100,21.85
80,Biak,ID,2022-10-27 19:42:57,-0.9131,122.8766,76.01,81,100,3.76
81,Saint-Pierre,RE,2022-10-27 19:42:58,-21.3393,55.4781,74.91,64,0,8.05
82,Port Pirie,AU,2022-10-27 19:42:59,-33.1833,138.0167,54.1,85,8,10.18
83,Melenki,RU,2022-10-27 19:42:59,55.3343,41.6295,35.76,99,100,3.89
84,Hermanus,ZA,2022-10-27 19:43:00,-34.4187,19.2345,56.8,82,0,8.63
85,Esperance,AU,2022-10-27 19:43:00,-33.8667,121.9,51.04,73,4,5.84
86,Bubaque,GW,2022-10-27 19:44:01,11.2833,-15.8333,83.21,79,20,10.54
87,Irbil,IQ,2022-10-27 19:43:44,36.1926,44.0106,62.42,48,3,6.91
88,Ailigandi,PA,2022-10-27 19:44:02,9.2333,-78.0167,83.43,73,100,5.08
89,Half Moon Bay,US,2022-10-27 19:44:02,37.4636,-122.4286,72.91,42,0,3.44
90,Omboue,GA,2022-10-27 19:44:03,-1.5746,9.2618,77.09,91,100,4.7
91,Balaipungut,ID,2022-10-27 19:44:03,1.05,101.2833,73.83,98,100,2.98
92,Yiyang,CN,2022-10-27 19:44:04,28.5892,112.3283,56.17,89,100,7.61
93,Lorengau,PG,2022-10-27 19:44:05,-2.0226,147.2712,81.7,78,82,5.66
94,Nagpur,IN,2022-10-27 19:44:05,21.15,79.1,68.02,83,20,0.0
95,Seydi,TM,2022-10-27 19:44:06,39.4816,62.9137,53.24,42,98,10.29
96,Bethel,US,2022-10-27 19:42:22,41.3712,-73.414,64.76,46,0,13.8
97,Ponta Do Sol,PT,2022-10-27 19:44:06,32.6667,-17.1,73.0,94,100,8.63
98,Marquelia,MX,2022-10-27 19:41:54,16.5833,-98.8167,85.37,74,79,7.96
99,Uruana,BR,2022-10-27 19:44:07,-15.4981,-49.6875,90.77,32,47,10.04
100,Chaman,PK,2022-10-27 19:44:08,30.9236,66.4512,60.46,23,2,1.59
101,Mitsamiouli,KM,2022-10-27 19:44:09,-11.3847,43.2844,76.77,77,100,9.1
102,Erenhot,CN,2022-10-27 19:44:09,43.6475,111.9767,34.39,19,10,7.43
103,Northam,GB,2022-10-27 19:44:10,51.0333,-4.2167,62.38,92,100,18.57
