Index,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Goderich,CA,2022-10-28 20:18:16,43.7501,-81.7165,56.91,58,3,5.75,clear sky
60,Bengkulu,ID,2022-10-28 20:18:16,-3.8004,102.2655,73.49,91,100,3.87,overcast clouds
61,Jamestown,US,2022-10-28 20:15:43,42.097,-79.2353,57.06,40,0,4.61,clear sky
62,Coquimbo,CL,2022-10-28 20:17:23,-29.9533,-71.3436,58.73,77,40,11.5,scattered clouds
63,Bambous Virieux,MU,2022-10-28 20:18:17,-20.3428,57.7575,74.21,88,40,3.44,light rain
64,Adrar,MR,2022-10-28 20:18:18,20.5022,-10.0711,83.77,13,3,12.68,clear sky
65,Nchelenge,ZM,2022-10-28 20:18:18,-9.3451,28.734,74.89,69,25,3.71,scattered clouds
66,Danielskuil,ZA,2022-10-28 20:18:19,-28.1887,23.5395,72.88,37,79,4.97,broken clouds
67,Royan,FR,2022-10-28 20:18:19,45.6285,-1.0281,68.85,60,100,6.44,overcast clouds
68,Avallon,FR,2022-10-28 20:18:20,47.4833,3.9,62.92,62,94,4.81,overcast clouds
69,Umm Lajj,SA,2022-10-28 20:18:20,25.0213,37.2685,79.92,58,6,9.08,clear sky
70,Massaguet,TD,2022-10-28 20:18:21,12.4755,15.4365,86.16,17,95,12.53,overcast clouds
71,Inhambane,MZ,2022-10-28 20:18:21,-23.865,35.3833,72.77,89,100,10.98,light rain
72,Paragominas,BR,2022-10-28 20:18:22,-2.9667,-47.4833,93.72,33,100,4.56,overcast clouds
73,Qaanaaq,GL,2022-10-28 20:18:23,77.484,-69.3632,-2.07,76,21,7.94,few clouds
74,Ambatofinandrahana,MG,2022-10-28 20:18:23,-20.55,46.8,64.36,77,44,1.05,light rain
75,Souillac,MU,2022-10-28 20:18:24,-20.5167,57.5167,71.98,88,40,3.44,scattered clouds
76,Mezen,RU,2022-10-28 20:18:24,65.8522,44.24,29.8,93,100,9.04,overcast clouds
77,Kourou,GF,2022-10-28 20:18:25,5.1552,-52.6478,84.25,72,14,8.16,few clouds
78,Bereznik,RU,2022-10-28 20:18:25,62.8551,42.7072,36.19,99,100,3.4,overcast clouds
79,Mecca,SA,2022-10-28 20:18:26,21.4267,39.8261,81.34,62,4,2.59,clear sky
80,Necochea,AR,2022-10-28 20:18:26,-38.5473,-58.7368,58.86,60,100,7.76,light rain
81,Mar Del Plata,AR,2022-10-28 20:13:41,-38.0023,-57.5575,64.42,51,0,13.8,light rain
82,Villa Del Rosario,CO,2022-10-28 20:18:27,7.8339,-72.4742,80.98,69,40,3.44,scattered clouds
83,Tirlyanskiy,RU,2022-10-28 20:18:28,54.2109,58.5806,23.09,87,99,2.57,overcast clouds
84,Ankazoabo,MG,2022-10-28 20:18:28,-22.2833,44.5167,74.14,60,64,11.45,broken clouds
85,Olafsvik,IS,2022-10-28 20:18:29,64.8945,-23.7142,41.11,74,87,3.8,overcast clouds
86,Cape Town,ZA,2022-10-28 20:13:47,-33.9258,18.4232,67.26,67,88,7.72,overcast clouds
87,Soyo,AO,2022-10-28 20:18:33,-6.1349,12.3689,78.37,84,98,5.68,overcast clouds
88,Volchikha,RU,2022-10-28 20:18:33,52.0333,80.3833,22.39,84,24,6.35,few clouds
89,Maloy,NO,2022-10-28 20:18:34,61.9353,5.1136,56.73,1,100,7.72,moderate rain
90,Carutapera,BR,2022-10-28 20:18:34,-1.195,-46.02,82.45,70,93,11.54,overcast clouds
91,Buraydah,SA,2022-10-28 20:18:35,26.326,43.975,73.85,18,0,8.32,clear sky
92,Manono,CD,2022-10-28 20:19:35,-7.3,27.4167,71.55,92,100,3.2,overcast clouds
93,Victoria,HK,2022-10-28 20:18:10,22.2855,114.1577,76.32,77,7,8.99,clear sky
94,Ormond Beach,US,2022-10-28 20:17:47,29.2858,-81.0559,80.1,90,100,8.05,moderate rain
95,Longyearbyen,SJ,2022-10-28 20:19:36,78.2186,15.6401,24.64,63,75,9.22,broken clouds
96,Vila Velha,BR,2022-10-28 20:19:36,-20.3297,-40.2925,78.94,83,20,20.71,few clouds
97,Kapoeta,SS,2022-10-28 20:19:37,4.7717,33.5903,84.61,40,18,10.49,few clouds
98,Blagoyevo,RU,2022-10-28 20:19:37,63.3667,47.9167,33.17,98,100,7.87,light snow
99,Constitucion,CL,2022-10-28 20:15:57,-35.3333,-72.4167,60.62,74,88,7.11,overcast clouds
100,Porto Novo,BJ,2022-10-28 20:19:38,6.4965,2.6036,82.22,80,100,4.79,overcast clouds
101,Belmonte,BR,2022-10-28 20:19:39,-15.8631,-38.8828,78.44,77,23,10.45,few clouds
102,Camacha,PT,2022-10-28 20:19:39,33.0833,-16.3333,69.22,83,20,9.22,few clouds
103,Kandi,BJ,2022-10-28 20:16:44,11.1342,2.9386,77.99,27,18,4.18,few clouds
104,Pesaro,IT,2022-10-28 20:19:41,43.9036,12.8903,65.88,77,15,3.33,few clouds
105,Kidal,ML,2022-10-28 20:19:41,18.4411,1.4078,77.05,15,0,10.96,clear sky
106,Altamira,BR,2022-10-28 20:19:42,-3.2033,-52.2064,89.69,55,40,3.44,scattered clouds
107,Fort-Shevchenko,KZ,2022-10-28 20:19:42,44.5086,50.263,55.51,69,84,19.69,broken clouds
108,Mashhad,IR,2022-10-28 20:16:32,36.297,59.6062,55.54,58,0,4.61,clear sky
109,Acari,PE,2022-10-28 20:19:43,-15.4311,-74.6158,75.56,50,0,10.07,clear sky
110,Saint-Augustin,CA,2022-10-28 20:19:43,51.226,-58.6502,43.74,40,3,17.16,clear sky
111,Ormara,PK,2022-10-28 20:19:44,25.2088,64.6357,78.49,76,43,5.03,scattered clouds
112,Coihaique,CL,2022-10-28 20:19:44,-45.5752,-72.0662,46.35,66,75,6.91,broken clouds
113,Uruguaiana,BR,2022-10-28 20:19:45,-29.7547,-57.0883,85.93,39,0,5.75,clear sky
114,Igarka,RU,2022-10-28 20:19:45,67.4667,86.5833,21.52,95,100,19.53,light snow
115,Axim,GH,2022-10-28 20:19:45,4.8699,-2.2405,78.26,86,33,6.85,scattered clouds
116,Senador Jose Porfirio,BR,2022-10-28 20:19:46,-2.5908,-51.9542,93.42,38,100,5.14,overcast clouds
117,Severodvinsk,RU,2022-10-28 20:19:46,64.5635,39.8302,32.11,98,100,9.55,light snow
118,Upernavik,GL,2022-10-28 20:19:47,72.7868,-56.1549,21.88,71,100,23.82,overcast clouds
119,Georgetown,MY,2022-10-28 20:14:47,5.4112,100.3354,79.23,90,20,0.0,few clouds
120,Clyde River,CA,2022-10-28 20:19:48,70.4692,-68.5914,14.23,85,100,21.85,overcast clouds
121,Komatipoort,ZA,2022-10-28 20:19:48,-25.4332,31.9548,70.05,63,75,11.63,broken clouds
122,Bolobo,CD,2022-10-28 20:19:49,-2.1667,16.2333,69.53,98,95,1.7,overcast clouds
123,Coruripe,BR,2022-10-28 20:15:07,-10.1256,-36.1756,78.22,80,97,11.5,overcast clouds
124,Cidreira,BR,2022-10-28 20:19:49,-30.1811,-50.2056,71.82,71,0,9.55,clear sky
125,Lethem,GY,2022-10-28 20:19:50,3.3803,-59.7968,89.56,52,75,11.41,broken clouds
126,Sinnamary,GF,2022-10-28 20:19:50,5.3833,-52.95,83.17,74,16,10.36,few clouds
127,Castro,BR,2022-10-28 20:19:51,-24.7911,-50.0119,77.18,60,51,6.49,broken clouds
128,Torbay,CA,2022-10-28 20:19:51,47.6666,-52.7314,49.28,63,20,9.22,few clouds
129,Balykshi,KZ,2022-10-28 20:19:52,47.0667,51.8667,35.6,93,75,8.95,mist
130,Pultusk,PL,2022-10-28 20:19:52,52.7025,21.0828,62.1,82,23,8.61,few clouds
131,Arlit,NE,2022-10-28 20:19:52,18.7369,7.3853,79.45,16,0,17.4,clear sky
132,Belyy Yar,RU,2022-10-28 20:19:53,53.6039,91.3903,30.09,76,0,6.71,clear sky
133,Leh,IN,2022-10-28 20:19:53,34.1667,77.5833,30.79,40,1,0.89,clear sky
134,Neuquen,AR,2022-10-28 20:15:59,-38.9516,-68.0591,75.09,29,0,10.36,light rain
135,Mehamn,NO,2022-10-28 20:19:54,71.0357,27.8492,35.55,80,75,13.8,broken clouds
136,Mezhdurechensk,RU,2022-10-28 20:19:54,53.6942,88.0603,28.8,91,100,4.81,overcast clouds
137,Arica,CL,2022-10-28 20:19:56,-18.475,-70.3042,71.15,63,0,12.66,clear sky
138,Caravelas,BR,2022-10-28 20:20:56,-17.7125,-39.2481,78.4,79,57,10.92,broken clouds
